DOY,ETRF_ADJ
1,-0.3
2,-0.3
3,-0.3
4,-0.3
5,-0.3
6,-0.3
7,-0.3
8,-0.3
9,-0.3
10,-0.3
11,-0.3
12,-0.3
13,-0.3
14,-0.3
15,-0.3
16,-0.3
17,-0.3
18,-0.3
19,-0.3
20,-0.3
21,-0.3
22,-0.3
23,-0.3
24,-0.3
25,-0.3
26,-0.3
27,-0.3
28,-0.3
29,-0.3
30,-0.3
31,-0.3
32,-0.2
33,-0.2
34,-0.2
35,-0.2
36,-0.2
37,-0.2
38,-0.2
39,-0.2
40,-0.2
41,-0.2
42,-0.2
43,-0.2
44,-0.2
45,-0.2
46,-0.2
47,-0.2
48,-0.2
49,-0.2
50,-0.2
51,-0.2
52,-0.2
53,-0.2
54,-0.2
55,-0.2
56,-0.2
57,-0.2
58,-0.2
59,-0.2
60,-0.1
61,-0.1
62,-0.1
63,-0.1
64,-0.1
65,-0.1
66,-0.1
67,-0.1
68,-0.1
69,-0.1
70,-0.1
71,-0.1
72,-0.1
73,-0.1
74,-0.1
75,-0.1
76,-0.1
77,-0.1
78,-0.1
79,-0.1
80,-0.1
81,-0.1
82,-0.1
83,-0.1
84,-0.1
85,-0.1
86,-0.1
87,-0.1
88,-0.1
89,-0.1
90,-0.1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,-0.1
302,-0.1
303,-0.1
304,-0.1
305,-0.1
306,-0.1
307,-0.1
308,-0.1
309,-0.1
310,-0.1
311,-0.1
312,-0.1
313,-0.1
314,-0.1
315,-0.1
316,-0.1
317,-0.1
318,-0.1
319,-0.1
320,-0.1
321,-0.1
322,-0.1
323,-0.1
324,-0.1
325,-0.1
326,-0.1
327,-0.1
328,-0.1
329,-0.1
330,-0.1
331,-0.2
332,-0.2
333,-0.2
334,-0.2
335,-0.2
336,-0.2
337,-0.2
338,-0.2
339,-0.2
340,-0.2
341,-0.2
342,-0.2
343,-0.2
344,-0.2
345,-0.2
346,-0.2
347,-0.2
348,-0.2
349,-0.2
350,-0.2
351,-0.2
352,-0.2
353,-0.2
354,-0.2
355,-0.2
356,-0.2
357,-0.2
358,-0.2
359,-0.2
360,-0.2
361,-0.2
362,-0.2
363,-0.2
364,-0.2
365,-0.2
